ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-04-05,9601.95021596935,7332.334993083322,10292.849393435357,9601.95021596935,9601.95021596935,-814.5674120310089,-814.5674120310089,-814.5674120310089,-814.5674120310089,-814.5674120310089,-814.5674120310089,0.0,0.0,0.0,8787.38280393834
2020-04-12,9621.457947449491,7564.399893420841,10488.076162271273,9621.457947449491,9621.457947449491,-587.7224982600794,-587.7224982600794,-587.7224982600794,-587.7224982600794,-587.7224982600794,-587.7224982600794,0.0,0.0,0.0,9033.735449189411
2020-04-19,9640.965678929635,7227.157440203177,10196.198102555543,9640.965678929635,9640.965678929635,-935.4285275161835,-935.4285275161835,-935.4285275161835,-935.4285275161835,-935.4285275161835,-935.4285275161835,0.0,0.0,0.0,8705.537151413451
2020-04-26,9660.473410409777,6614.6833780129455,9471.927451370966,9660.473410409777,9660.473410409777,-1649.063409895231,-1649.063409895231,-1649.063409895231,-1649.063409895231,-1649.063409895231,-1649.063409895231,0.0,0.0,0.0,8011.4100005145465
2020-05-03,9679.981141889919,5841.904640652182,8608.958098550382,9679.981141889919,9679.981141889919,-2524.3313141536764,-2524.3313141536764,-2524.3313141536764,-2524.3313141536764,-2524.3313141536764,-2524.3313141536764,0.0,0.0,0.0,7155.6498277362425
2020-05-10,9699.48887337006,4739.305865554558,7683.524669250557,9699.48887337006,9699.48887337006,-3496.951915443026,-3496.951915443026,-3496.951915443026,-3496.951915443026,-3496.951915443026,-3496.951915443026,0.0,0.0,0.0,6202.5369579270355
2020-05-17,9718.996601546814,3898.7462044285685,6765.137165924044,9718.996601546814,9718.996601546814,-4426.112290480257,-4426.112290480257,-4426.112290480257,-4426.112290480257,-4426.112290480257,-4426.112290480257,0.0,0.0,0.0,5292.8843110665575
2020-05-24,9738.504329723566,3315.629696269033,6075.263796484125,9738.504329723566,9738.504329723566,-4981.411976327946,-4981.411976327946,-4981.411976327946,-4981.411976327946,-4981.411976327946,-4981.411976327946,0.0,0.0,0.0,4757.09235339562
2020-05-31,9758.01205790032,3411.3962751678546,6330.535085578452,9758.01205790032,9758.01205790032,-4925.7460213777495,-4925.7460213777495,-4925.7460213777495,-4925.7460213777495,-4925.7460213777495,-4925.7460213777495,0.0,0.0,0.0,4832.26603652257
2020-06-07,9777.519786077073,3770.9975740939394,6753.645987451081,9777.519786077073,9777.519786077073,-4474.589699834757,-4474.589699834757,-4474.589699834757,-4474.589699834757,-4474.589699834757,-4474.589699834757,0.0,0.0,0.0,5302.930086242316
2020-06-14,9797.027514253825,4057.7413815946306,6908.5088383474595,9797.027514253825,9797.027514253825,-4205.332897590977,-4205.332897590977,-4205.332897590977,-4205.332897590977,-4205.332897590977,-4205.332897590977,0.0,0.0,0.0,5591.694616662848
2020-06-21,9816.535242430578,3837.509172077124,6753.293285459358,9816.535242430578,9816.535242430578,-4510.2933759295,-4510.2933759295,-4510.2933759295,-4510.2933759295,-4510.2933759295,-4510.2933759295,0.0,0.0,0.0,5306.241866501078
